source_file,entity,entity_type,start_position,end_position,context
louvre_cleaned_2.txt,Mona Lisa - Wikipedia,PERSON,11,32,--- title: Mona Lisa - Wikipedia author: Authority control databases url: https://
louvre_cleaned_2.txt,Https://En.Wikipedia.Org/Wiki/Mona_Lisa,PERSON,74,113,ikipedia author: Authority control databases url: https://en.wikipedia.org/wiki/Mona_Lisa hostname: wikipedia.org sitename: Wikimedia Found
louvre_cleaned_2.txt,"Wikimedia Foundation, Inc.",ORG,148,174,"/wiki/Mona_Lisa hostname: wikipedia.org sitename: Wikimedia Foundation, Inc. date: 2002-08-12 --- Mona Lisa | Mona Lisa | | |-"
louvre_cleaned_2.txt,2002-08-12,DATE,181,191,"ia.org sitename: Wikimedia Foundation, Inc. date: 2002-08-12 --- Mona Lisa | Mona Lisa | | |---|---| | Italian"
louvre_cleaned_2.txt,Mona Lisa,PERSON,196,205,": Wikimedia Foundation, Inc. date: 2002-08-12 --- Mona Lisa | Mona Lisa | | |---|---| | Italian: la Gioconda,"
louvre_cleaned_2.txt,Monna Lisa,PERSON,256,266,"| Mona Lisa | | |---|---| | Italian: la Gioconda, Monna Lisa, French: la Joconde | | | Artist | Leonardo da Vi"
louvre_cleaned_2.txt,Artist,PERSON,293,299,"la Gioconda, Monna Lisa, French: la Joconde | | | Artist | Leonardo da Vinci | | Year | c. 1503–1506, perh"
louvre_cleaned_2.txt,Leonardo Da Vinci,PERSON,302,319,"da, Monna Lisa, French: la Joconde | | | Artist | Leonardo da Vinci | | Year | c. 1503–1506, perhaps continuing until"
louvre_cleaned_2.txt,C. 1517,DATE,370,377,"| | Year | c. 1503–1506, perhaps continuing until c. 1517 | | Medium | Oil on poplar panel | | Subject | Li"
louvre_cleaned_2.txt,Subject,PERSON,415,422,ntil c. 1517 | | Medium | Oil on poplar panel | | Subject | Lisa del Giocondo | | Dimensions | 77 cm × 53 c
louvre_cleaned_2.txt,Lisa Del Giocondo,PERSON,425,442,17 | | Medium | Oil on poplar panel | | Subject | Lisa del Giocondo | | Dimensions | 77 cm × 53 cm (30 in × 21 in) | 
louvre_cleaned_2.txt,Dimensions,ORG,447,457, poplar panel | | Subject | Lisa del Giocondo | | Dimensions | 77 cm × 53 cm (30 in × 21 in) | | Location | Lo
louvre_cleaned_2.txt,Location,ORG,494,502," | Dimensions | 77 cm × 53 cm (30 in × 21 in) | | Location | Louvre, Paris | The Mona Lisa[a] is a half-leng"
louvre_cleaned_2.txt,Paris,GPE,513,518,"cm × 53 cm (30 in × 21 in) | | Location | Louvre, Paris | The Mona Lisa[a] is a half-length portrait pain"
louvre_cleaned_2.txt,Lisa Del Giocondo.[9,PERSON,1103,1123,nally considered to depict the Italian noblewoman Lisa del Giocondo.[9] It is painted in oil on a white poplar panel.[10
louvre_cleaned_2.txt,Leonardo,PERSON,1175,1183,It is painted in oil on a white poplar panel.[10] Leonardo never gave the painting to the Giocondo family.[1
louvre_cleaned_2.txt,Between 1503 And 1506,DATE,1273,1294," family.[11] It was believed to have been painted between 1503 and 1506; however, Leonardo may have continued working on "
louvre_cleaned_2.txt,Francis,PERSON,1369,1376,ave continued working on it as late as 1517. King Francis I of France acquired the Mona Lisa after Leonardo
louvre_cleaned_2.txt,France,GPE,1382,1388, working on it as late as 1517. King Francis I of France acquired the Mona Lisa after Leonardo's death in 
louvre_cleaned_2.txt,The Mona Lisa,ORG,1398,1411,"s late as 1517. King Francis I of France acquired the Mona Lisa after Leonardo's death in 1519, and it became the"
louvre_cleaned_2.txt,1519,DATE,1438,1442," acquired the Mona Lisa after Leonardo's death in 1519, and it became the property of the French Republi"
louvre_cleaned_2.txt,The French Republic,GPE,1474,1493,"do's death in 1519, and it became the property of the French Republic. It has normally been on display at the Louvre in"
louvre_cleaned_2.txt,Louvre,PERSON,1534,1540, Republic. It has normally been on display at the Louvre in Paris since 1797.[12] The painting's global fa
louvre_cleaned_2.txt,1911,DATE,1629,1633,"s global fame and popularity partly stem from its 1911 theft by Vincenzo Peruggia, who attributed his ac"
louvre_cleaned_2.txt,Vincenzo Peruggia,PERSON,1643,1660,"and popularity partly stem from its 1911 theft by Vincenzo Peruggia, who attributed his actions to Italian patriotism"
